Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES
17771|te iru|～ている||1|iru, te imasu, de iru, de imasu|||||233;234||251;252||240;241|
17772|te oru|～ておる||1|oru, te orimasu, de oru, de orimasu|||||560;561||508;509||502;503|
17773|te aru|～てある||1|aru, te arimasu, de aru, de arimasu|||||235||253||242|
17774|te iku|～て行く||1|iku, te ikimasu, de iku, de ikimasu|||||236;237;238||254;255;256||243;244;245|
17775|te oku|～ておく||1|oku, te okimasu, de oku, de okimasu|||||239|do preemptively, do in preparation for, do in advance|257|faire de façon préventive, faire en préparation, faire à l'avance|246|hacer preventivamente, hacer en preparación para, hacer por adelantado
17776|ttoku|～っとく||1|ttokimasu|||||240|preemptively, preparation|258|à titre préventif, préparation|247|preventivamente, preparación
17777|te kara|～てから||1|kara, de kara|||||241|then, afterwards|259|ensuite|248|luego, después
17778|te kuru|～て来る||1|kuru, te kimasu, de kuru, de kimasu|||||242;243;244||260;261;262||249;250;251|
17779|te mo ii da|～てもいいだ||1|mo ii da, te mo ii desu, de mo ii da, de mo ii desu|||||245|alright, may, permission|263|d'accord, peut, permission|252|bien, mayo, permiso
17780|nakya|～なきゃ||1||||||19250||1436||1096|
17781|te wa ikenai|～てはいけない||1|wa ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen, tehaikenai, tewaikenai|||||246|not allowed, not permitted, forbidden, may not, prohibition|264|interdit, interdiction|253|no permitido, prohibido, no puede, prohibición
17782|cha ikenai|～ちゃいけない||1|ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen|||||247|not allowed, not permitted, forbidden, may not, prohibition|265|interdit, interdiction|254|no permitido, prohibido, no puede, prohibición
17783|te mo ii desu ka?|～てもいいですか?||1|mo ii desu ka, mou ii da, de mo ii desu ka, temoii, demoii|||||248|is it ok, is it fine, is ok, is fine, is acceptable, permission, may I, may she, may he, may they|266|est-ce que ça va, est-ce bien, est-il acceptable, permission, puis|255|está bien, es aceptable, permiso, puedo, puede
17784|te ageru|～て上げる||1|ageru, te agemasu, de ageru, de agemasu|||||249||267||256|
17785|te morau|～て貰う||1|morau, de moraimasu, de morau, de moraimasu|||||261||281||270|
17786|te itadaku|～ていただく||1|de itadaku, itadaku|||||6100||279||268|
17787|te kureru|～て呉れる||1|kureru, te kuremasu, de kureru, de kuremasu|||||254||273||262|
17788|te kudasaru|～て下さる||1|de kudasaru, kudasaru|||||663||513||507|
17789|te hoshii|～てほしい||1|hoshii, te hoshii desu|||||250||268||257|
17790|te kudasai|～て下さい||1|kudasai, de kudasai|||||251||269||258|
17791|te moratte mo ii desu ka|～て貰ってもいいですか||1|de itadakitai n desu ka, で貰ってもいいですか|||||629|||||
17792|te itadakitai n desu ka|～て頂きたいんですか||1|de itadakitai n desu ka, で頂きたいんですか|||||630|||||
17793|te kurenai|～て呉れない||1|kurenai, de kurenai|||||253||270||259|
17794|te kuremasen ka|～て呉れませんか||1|kuremasen ka, de kuremasen ka|||||6125||271||260|
17795|te itadakemasen ka|～て呉れませんか||1|itadakemasen ka, de itadakemasen ka|||||6126||272||261|
17796|te miru|～て見る||1|miru, te mimasu, de miru, de mimasu|||||255||274||263|
