MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
10370|imprison (without forced labour), incarcerate, confine|VsuruT|||||
10371|arise from, be caused by|VsuruI|||||
10372|undulate|VsuruI|||||
10373|have ups and downs, have highs and lows|VsuruI|||||
10374|do business, do finance|VsuruI|||||
10375|plan, project, schedule, scheme, program|VsuruT|||||
10376|battle, fight, engage, contest|VsuruT|||||
10377|be damp, be humid, be wet, be clammy, be muggy, be soggy|VsuruI|||||
10378|be gloomy, be melancholic, be depressing|VsuruI|||||
10379|perform mischief, do a prank, trick, joke|VsuruI|||||
10380|do as a pastime, do as a hobby|VsuruI|||||
10381|play with (a lighter, etc.), fool around with, mess around with, amuse oneself with, tamper with|VsuruI|||||
10382|behave lewdly toward, misbehave sexually toward, assault sexually, molest, rape|VsuruT|||||
10383|do battle, game, bout (with)|VsuruI|||||
10384|nod off (while sitting), doze|VsuruI|||||
10385|metamorphose, be disguised, transform, shapeshift, morph|VsuruI|||||
10386|change, transition|VsuruI|||||
10387|transform, vary, metamorphose, be modified, deform|VsuruI|||||
10388|change, convert, transform|VsuruI|||||
10389|change, transform, innovate, reform, revolutionize, upheave|VsuruT|||||
10390|change, fluctuate|VsuruI|||||
10391|transfigure, transform, change appearance|VsuruI|||||
10392|spread, extend, ripple|VsuruI|||||
10393|tear up and discard (e.g. documents), dispose of (e.g. weaponry), destroy|VsuruT|||||
10394|annul, cancel, abrogate, void, break (e.g. treaty)|VsuruT|||||
10395|reverse (an original ruling)|VsuruT|||||
10396|suffer defeat, lose a battle, lose a war|VsuruI|||||
10397|please, amuse|VsuruT|||||
10398|battle fiercly, battle hard, hotly contest, fight severely|VsuruT|||||
10399|be solid, be robust, be well-built|VsuruI|||||
10400|be tight, be taut|VsuruI|||||
10401|be shrewd, be calculating, be astute|VsuruI|||||
10402|agree, concur, conform, comply|VsuruI|||||
10403|liquefy|VsuruI|||||
10404|etch|VsuruT|||||
10405|have sexual intercourse, copulate, fuck|VsuruT|||||
10406|have sympathy, have compassion, feel pity for|VsuruI|||||
10407|have sympathy, agree with, align, conform, tune|VsuruI|||||
10408|be sordid, be muddy|VsuruI|||||
10409|become a pupil (of), become an apprentice|VsuruI|||||
10410|act as agent, act on (someone's) behalf, execute business for|VsuruI|||||
10411|beg (animal)|VsuruI|||||
10412|deteriorate, grow worse, aggrave, degenerate, be corrupted|VsuruI|||||
10413|increase (tax)|VsuruI|||||
10414|rise (of river, lake, etc.), swell (water), increase (water)|VsuruI|||||
10415|promote, increase, advance|VsuruT|||||
10416|extend, expand, add (equipment, facilities, etc.)|VsuruT|||||
10417|augment, reinforce, increase|VsuruT|||||
10418|increase the number of trains in operation, increase bond issues|VsuruI|||||
10419|create an increased amount|VsuruI|||||
10420|enlarge, increase|VsuruT|||||
10421|pinky swear, pinky promise, hook each other's little fingers to confirm a promise|VsuruI|||||
10422|use properly, use (different things) for different purposes|VsuruT|||||
10423|rush into, break into, storm|VsuruT|||||
10424|plunge into (war, etc.), embark on (a new venture)|VsuruI|||||
10425|transact, deal, do business|VsuruI|||||
10426|publish (a feature e.g. newspaper, a special edition, a report)|VsuruT|||||
10427|evacuate, withdraw, revocate, repeal, retreat|VsuruT|||||
10428|move, change residence|VsuruI|||||
10429|correct, revise, amend|VsuruT|||||
10430|guide, lead, act as guide|VsuruT|||||
10431|have influence, have connections, have good offices|VsuruI|||||
10432|shelve, pigeonhole|VsuruT|||||
10433|retire from office|VsuruI|||||
10434|sense, experience|VsuruT|||||
10435|resign, step down, retire|VsuruI|||||
10436|retreat, decamp, withdraw|VsuruI|||||
10437|send (esp. email attachments), forward, remit|VsuruT|||||
10438|amend, correct, revise, modify, alter, retouch, update, fix|VsuruT|||||
10439|wound, injure|VsuruT|||||
10440|assault, inflict bodily injury|VsuruT|||||
10441|know, be aware|VsuruI|||||
10442|consent, accept, assent, admit, comply, agree, acknowledge, acknowledge|VsuruI|||||
10443|forgive, pardon, excuse|VsuruT|||||
10444|perform trial and error|VsuruI|||||
10445|make an attempt, perform a trial run|VsuruI|||||
10446|execute, enforce, carry out|VsuruT|||||
10447|give alms, give food to the poor or monks|VsuruI|||||
10448|think, consider|VsuruI|||||
10449|intend to, aim at, have a preference (for), have an orientation (towards a goal)|VsuruT|||||
10450|like, prefer|VsuruT|||||
10451|execute, carry out, perform, enforce|VsuruT|||||
10452|start work, commence|VsuruI|||||
10453|relocate the capital, transfer the capital|VsuruI|||||
10454|blush, get red in the face|VsuruI|||||
10455|embarrass|VsuruT|||||
10456|photograph, film, shoot, record|VsuruT|||||
10457|assess (value, damages, etc.), revise (a budget)|VsuruT|||||
10458|make a comeback, make a recovery, be restored, rally|VsuruI|||||
10459|lead|VsuruI|||||
10460|read|VsuruT|||||
10461|be optimistic, take an optimistic view|VsuruI|||||
10462|recognize, be aware of, perceive, understand|VsuruT|||||
10463|waste (money, time, etc.), squander, fritter away|VsuruT|||||
10464|apologise, apologize, excuse oneself|VsuruI|||||
10465|air lift|VsuruT|||||
10466|perform an air raid|VsuruI|||||
10467|bomb|VsuruT|||||
10468|divide, partition|VsuruT|||||
10469|give a speech, express oneself|VsuruI|||||
10470|perform sneakily, perform secretly, perform stealthily, sneak|VsuruI|||||
10471|rear a child, raise a child, raise children, parent|VsuruT|||||
10472|be prepared, be ready|VsuruI|||||
10473|donate, present, gift|VsuruT|||||
10474|kiss|VsuruT|||||
10475|commemorate, celebrate, honor the memory of something, turn something into a memento|VsuruT|||||
10476|flourish, participate actively, play an active role|VsuruI|||||
10477|act, operate, work|VsuruI|||||
10478|become a member, join, enter, be admitted, subscribe, affiliate with, adhere, sign|VsuruI|||||
10479|answer, solve|VsuruT|||||
10480|cancel, liquidate, resolve, reduce (e.g. stress)|VsuruT|||||
10481|explain, comment, expose, elucidate|VsuruT|||||
10482|revise, amend, alter|VsuruT|||||
10483|break up (e.g. meeting), disperse (e.g. crowd)|VsuruI|||||
10484|dissolve (company, organization, etc.), liquidate, disband|VsuruT|||||
10485|dissolve (diet, parliament, etc.)|VsuruT|||||
10486|open a port (seaport, airport, etc.), start operations at a port|VsuruI|||||
10487|open a port to foreign vessels or trade|VsuruI|||||
10488|open a school|VsuruI|||||
10489|open a country (e.g. Japan) to the world|VsuruI|||||
10490|open one's mouth, begin to speak|VsuruI|||||
10491|found a country|VsuruI|||||
10492|warn, caution|VsuruT|||||
10493|recollect, reminisce, look back, retrospect, review|VsuruT|||||
10494|settle, solve, resolve|VsuruT|||||
10495|be solved, be settled|VsuruI|||||
10496|cancel, rescind, release, call off, lift (sanctions), delist|VsuruT|||||
10497|release, unleash, liberate, emancipate, set free|VsuruT|||||
10498|deallocate (computer memory)|VsuruT|||||
10499|decipher, decode|VsuruT|||||
10500|dissect, perform an autopsy on|VsuruT|||||
10501|analyze, analyse|VsuruT|||||
10502|be real, exist|VsuruI|||||
10503|demonstrate, present|VsuruT|||||
10504|stage a show, perform|VsuruI|||||
10505|actually feel, have a real feeling (that ...), experience personally|VsuruT|||||
10506|become aware (of), sense|VsuruT|||||
10507|line up, queue|VsuruI|||||
10508|be injured, be wounded|VsuruI|||||
10509|reproduce, duplicate, reprint|VsuruT|||||
10510|be composite, be combined, be complex|VsuruI|||||
10511|republish, reissue, reproduce|VsuruT|||||
10512|ride together, ride with|VsuruI|||||
10513|be uneven, be rough, be rugged|VsuruI|||||
10514|be unequal|VsuruI|||||
10515|sense, have a hunch about|VsuruT|||||
10516|block (e.g. the way)|VsuruI|||||
10517|scorn, slight|VsuruT|||||
10518|fill in gaps, fill in blanks (in a form, etc.)|VsuruI|||||
10519|cover up a deficit, make up for something (e.g. one's mistake)|VsuruI|||||
10520|protect, care for|VsuruT|||||
10521|levy, charge, assess, impose, assign|VsuruT|||||
10522|inflict, impose (a fine, etc.)|VsuruT|||||
10523|blame, censure, reproof, reprimand, rebuke|VsuruT|||||
10524|provide questions and answers, engage in dialogue|VsuruI|||||
10525|shoplift|VsuruI|||||
10526|give an excuse|VsuruI|||||
10527|explain|VsuruI|||||
10528|pass as, pass for|VsuruI|||||
10529|correspond, communicate, transmit|VsuruI|||||
10530|commute to work|VsuruI|||||
10531|slice|VsuruT|||||
10532|slide, slip|VsuruI|||||
10533|change (in value, e.g. with a sliding scale), change (in situation)|VsuruI|||||
10534|slide|VsuruI|||||
10535|declare, make a statement, proclame|VsuruI|||||
10536|become an adult, come of age, grow up (to be a man, woman)|VsuruI|||||
10537|shout encouragement, cheer, root, support|VsuruI|||||
10538|believe in a superstition|VsuruI|||||
10539|order, command, decree|VsuruI|||||
10540|perform an instruction (software), carry out a statement|VsuruI|||||
10541|receive, accept, enjoy|VsuruT|||||
10542|crawl the web|VsuruI|||||
10543|fix (in place), secure, anchoring, fasten down|VsuruT|||||
10544|fix (e.g. salary, capital), keep the same|VsuruT|||||
10545|enjoy|VsuruT|||||
10546|substitute|VsuruT|||||
10547|substitute|VsuruT|||||
10548|represent, proxy, substitute|VsuruT|||||
10549|speak by proxy, speak for (someone else), act as spokesman (for), represent (the views, feelings, etc. of)|VsuruI|||||
10550|pay by proxy, compensate by proxy, pay on behalf (of)|VsuruI|||||
10551|act for (someone else), carry out (on someone's behalf)|VsuruI|||||
10552|have seasoning, have flavour, have flavor|VsuruI|||||
10553|love, adore|VsuruT|||||
10554|read with pleasure|VsuruI|||||
10555|be attached, love, have covetous affection|VsuruI|||||
10556|attend (at work), be at work, be present (in the office), go to work, report for work|VsuruI|||||
10557|bleed, haemorrhage, hemorrhage|VsuruI|||||
10558|bleed money, sell below cost|VsuruI|||||
10559|be on official tour, be on a business trip|VsuruI|||||
10560|own, possess|VsuruT|||||
10561|belong to (a group, organization, etc.), be affiliated (with), be attached to, be under the control of|VsuruI|||||
10562|be located at|VsuruI|||||
10563|prove, verify, certify, confirm|VsuruT|||||
10564|testify, provide (verbal) evidence|VsuruI|||||
10565|possess, own|VsuruT|||||
10566|use personally|VsuruT|||||
10567|have a private business|VsuruI|||||
10568|deduct, subtract, balance|VsuruT|||||
10569|ebb and flow, rise and fall|VsuruI|||||
10570|explode, burst|VsuruI|||||
10571|distinguish, differentiate, discriminate|VsuruI|||||
10572|discriminate (against women, minorities, etc.)|VsuruI|||||
10573|fray, fight, brawl, scuffle|VsuruI|||||
10574|stand together in a disorderly fashion, stand close around, crowd together|VsuruI|||||
10575|flood in (applicants, election candidates, etc.)|VsuruI|||||
10576|fire randomly, fire recklessly|VsuruI|||||
10577|fish excessively, overfish, overhunt, trawl|VsuruT|||||
10578|be violent, be assaulting, riot|VsuruI|||||
10579|rape, assault sexually|VsuruT|||||
10580|undersell, sell in panic|VsuruT|||||
10581|abuse, misuse, misappropriate, use to excess|VsuruT|||||
10582|be punctured, be flat (tyre/tire), burst|VsuruI|||||
10583|punch (with the fist)|VsuruT|||||
10584|punch (a hole)|VsuruT|||||
10585|pan (in a film)|VsuruI|||||
10586|acquire, obtain|VsuruT|||||
10587|input, enter (data)|VsuruT|||||
10588|procure, purchase, buy|VsuruT|||||
10589|hope for, wish for, aspire to|VsuruT|||||
10590|strike (at something) and miss, swing and miss, attempt in vain|VsuruT|||||
10591|color hair, colour hair|VsuruI|||||
10592|appear on the cover of a magazine|VsuruI|||||
10593|be front and back, be inside and outside, be on two sides, be on both sides|VsuruI|||||
10594|declare, indicate, represent, manifest, demonstrat, express, announce, assert|VsuruT|||||
10595|express in writing, note, transcribe|VsuruT|||||
10596|write on the surface (e.g. an address on an envelope), inscribe on the face|VsuruI|||||
10597|indicate, express, show, manifest, demonstrate|VsuruT|||||
10598|display|VsuruT|||||
10599|represent|VsuruT|||||
10600|express, present|VsuruT|||||
10601|have a representation, have a notation|VsuruI|||||
10602|start, inaugurate, launch, found, establish|VsuruT|||||
10603|have a fit, spasm, have an attack, have a seizure|VsuruI|||||
10604|go side-by-side, go abreast|VsuruI|||||
10605|run concurrently, occur at the same time, keep pace with|VsuruI|||||
10606|develop, grow, expand, extend, flourish|VsuruI|||||
10607|develop (of a situation, story, etc.), advance, progress, unfold|VsuruI|||||
10608|play around, have an active sex life|VsuruI|||||
10609|develop, grow|VsuruI|||||
10610|pronounce|VsuruT|||||
10611|produce the sound of|VsuruT|||||
10612|grow (physically), develop|VsuruI|||||
10613|make a statement, remark, observe, utter, speak, propose|VsuruI|||||
10614|generate (e.g. power)|VsuruT|||||
10615|send a telegram, telegraph|VsuruI|||||
10616|have an idea|VsuruI|||||
10617|express oneself|VsuruI|||||
10618|depart (of a train, car, etc.), start, leave|VsuruI|||||
10619|fire, shoot, discharge, catapult|VsuruT|||||
10620|ejaculate|VsuruI|||||
10621|break out, spring forth, occurr|VsuruI|||||
10622|be generated (e.g. of power or heat)|VsuruI|||||
10623|develop complex multicellular structures from cell(s) in a simple state|VsuruI|||||
10624|incandesce|VsuruI|||||
10625|become excited, get heated (e.g. of a discussion), reach a climax|VsuruI|||||
10626|confess|VsuruI|||||
10627|study, learn|VsuruI|||||
10628|go in and out, enter and exit|VsuruI|||||
10629|visit regularly, frequent, have regular dealings with|VsuruT|||||
10630|impeach|VsuruI|||||
10631|denunciate, accuse, censure, arraign|VsuruT|||||
10632|be in harmony, be in accord, reconcile, agree|VsuruI|||||
10633|arbitrate, concile, mediate|VsuruT|||||
10634|supply, provision, raise, procure|VsuruT|||||
10635|regulate, adjust, control|VsuruT|||||
10636|cook, prepare food|VsuruI|||||
10637|exceed, be more than|VsuruT|||||
10638|sign, seal|VsuruT|||||
10639|transcend, rise above|VsuruT|||||
10640|be titled (e.g. a book), be named|VsuruI|||||
10641|express, show|VsuruT|||||
10642|own, be endowed with|VsuruT|||||
10643|invert, reverse, get out of order|VsuruT|||||
10644|co-occur|VsuruI|||||
10645|be left on base|VsuruI|||||
10646|work overtime|VsuruI|||||
10647|be in, be at home|VsuruI|||||
10648|be in office|VsuruI|||||
10649|be enrolled, be enroled, be registered|VsuruI|||||
10650|reside, live, dwell|VsuruI|||||
10651|summarize, digest|VsuruT|||||
10652|demand for, request|VsuruT|||||
10653|desire, want, will, wish, crave|VsuruT|||||
10654|dwell, reside|VsuruI|||||
10655|get in and out, assess income and expenses, perform free associations, make the run of the house|VsuruI|||||
10656|claim, insist, assert, advocate, emphasize, emphasise, contend, opine|VsuruI|||||
10657|rent a house|VsuruI|||||
10658|act, operate, have effect, perform a function|VsuruI|||||
10659|change completely|VsuruI|||||
10660|draw up (e.g. legal document, contract, will, etc.), prepare, write, frame, make, produce, create|VsuruT|||||
10661|plant|VsuruT|||||
10662|operate, function, run|VsuruI|||||
10663|circulate (money, goods, etc.), be distributed|VsuruI|||||
10664|circulate (air, water, etc.), be ventilated, flow|VsuruI|||||
10665|cook, prepare (food)|VsuruT|||||
10666|deal with something, handle, administer, manage|VsuruT|||||
10667|performe (a duty), fulfill (a promise), execute (a contract), discharge, implement|VsuruT|||||
10668|get a divorce|VsuruI|||||
10669|understand, comprehend, appreciate, sympathize with|VsuruT|||||
10670|get a second helping, get another cup, get seconds|VsuruI|||||
10671|have a dog place its second paw in one's hand|VsuruI|||||
10672|perform a silent prayer|VsuruI|||||
10673|make an advance sale, make a booking|VsuruI|||||
10674|preface, introduce|VsuruT|||||
10675|pay in advance, prepay|VsuruT|||||
10676|suffer a breakdown, rupture|VsuruI|||||
10677|decide, determine, resolve|VsuruT|||||
10678|reach a resolution, decide|VsuruI|||||
10679|decide, determine|VsuruI|||||
10680|feel want, be in shortage|VsuruI|||||
10681|catalog, catalogue|VsuruT|||||
10682|underestimate, undervaluate|VsuruT|||||
10683|superheat, overheat|VsuruI|||||
10684|mean, signify, imply|VsuruT|||||
10685|retaliate, get revenge, get reprisal, get retribution|VsuruI|||||
10686|retort|VsuruI|||||
10687|feel discomfort, feel inconvenience|VsuruI|||||
10688|be poor, be destitute|VsuruI|||||
10689|exhibit, display, put on show|VsuruT|||||
10690|be silent, be quiet, hush|VsuruI|||||
10691|be reticent, not act|VsuruI|||||
10692|repose (souls)|VsuruI|||||
10693|make a statement, make a declaration|VsuruI|||||
10694|petition, appeal|VsuruT|||||
10695|settle or be deposited (at the bottom of something)|VsuruI|||||
10696|sink, founder, go down, submerse|VsuruI|||||
10697|get dead drunk|VsuruI|||||
10698|have too much fun (esp. in a red-light district, etc.) and miss work or neglect one's duties|VsuruI|||||
10699|stay in one place for a long time|VsuruI|||||
10700|suppress, subjugate|VsuruT|||||
10701|increase (wage)|VsuruI|||||
10702|engage in correspondence, exchange letters|VsuruI|||||
10703|rise suddenly, rise sharply, boom, skyrocket|VsuruI|||||
10704|act rashly, run wildly, behave recklessly, drive recklessly, go on a rampage|VsuruI|||||
10705|be a runaway process|VsuruI|||||
10706|perform reckless baserunning|VsuruI|||||
10707|slump, crash, fall heavily, decline suddenly|VsuruI|||||
10708|assault, perform an outrage, perform an act of violence|VsuruI|||||
10709|rape, assault sexually|VsuruT|||||
10710|be separated, live apart|VsuruI|||||
10711|disclose, expose, reveal|VsuruT|||||
10712|be a resident in Japan (of a foreigner), be situated in Japan (e.g. of an embassy)|VsuruI|||||
10713|drop in on the way, stop off at, make a side trip|VsuruI|||||
10714|go the long way round, make a detour|VsuruI|||||
10715|import (e.g. data), capture (e.g. image)|VsuruT|||||
10716|be dotted with, be scattered|VsuruI|||||
10717|fall (rain, drop of water)|VsuruI|||||
10718|drip intravenously, drip-feed|VsuruI|||||
10719|switch on and off (of a light), flash, blink, flicker|VsuruI|||||
10720|inspect, examine, check|VsuruT|||||
10721|ignite, light, set fire to|VsuruT|||||
10722|face (each other), be facing|VsuruT|||||
10723|be directed toward (the future, etc.), be in response to, be related to|VsuruT|||||
10724|receive (a client, etc.)|VsuruT|||||
10725|compare with, contrast with, be in opposition with, be opposed to|VsuruT|||||
10726|confront, oppose, compete with|VsuruT|||||
10727|repay, redeem, amortize, amortise|VsuruT|||||
10728|review a book|VsuruI|||||
10729|send (someone) an allowance, supply, provide|VsuruT|||||
10730|dress fully, dress formally, wear a uniform|VsuruI|||||
10731|be correct, be right, have a correct interpretation (answer, solution)|VsuruI|||||
10732|be established, be instituted|VsuruI|||||
10733|instal (machine or equipment)|VsuruT|||||
10734|meet, face, confront|VsuruT|||||
10735|check|VsuruT|||||
10736|be similar, be the same|VsuruI|||||
10737|nominate|VsuruT|||||
10738|tell a tale, tell a story, tell a legend|VsuruI|||||
10739|go on a detour, create a diversion|VsuruI|||||
10740|internationalize, internationalise|VsuruT|||||
10741|register, enter|VsuruT|||||
10742|apply make-up, apply makeup|VsuruI|||||
10743|be petrified, fossilize, fossilise|VsuruI|||||
10744|fight hand-to-hand, grapple, scuffle|VsuruI|||||
10745|rate, classify, allocate, grade|VsuruT|||||
10746|exalt, upgrade, promote|VsuruT|||||
10747|register (e.g. of mail), write down, put on record, record, make a note of|VsuruT|||||
10748|write|VsuruT|||||
10749|enter (e.g. to a form)|VsuruT|||||
10750|post (e.g. to a blog)|VsuruT|||||
10751|reply, answer|VsuruT|||||
10752|recollect, reflect on, reminisce about|VsuruT|||||
10753|collecte, recover, withdraw, retrieve|VsuruT|||||
10754|hold (a conference, exhibition, etc.), open, host (e.g. the Olympics)|VsuruT|||||
10755|interview, have an audience with, meet|VsuruI|||||
10756|evade, avoid|VsuruT|||||
10757|meet, assemble, gather|VsuruI|||||
10758|associate|VsuruI|||||
10759|conjunct|VsuruI|||||
10760|meet, confer|VsuruI|||||
10761|converse, confer (usu. between important people), discuss|VsuruI|||||
10762|combine chemically|VsuruI|||||
10763|improve (e.g. in skill, ability), advance, progress|VsuruI|||||
10764|communicate opinions of the general populace to those of high rank|VsuruI|||||
10765|perform (of play, opera, etc.), stage, present|VsuruT|||||
10766|have self control, have self restraint|VsuruI|||||
10767|become aware of, notice, realize, realise|VsuruT|||||
10768|be in place|VsuruI|||||
10769|go North|VsuruI|||||
10770|get a sunburn, get a suntan, get a tan|VsuruI|||||
10771|become discolored from the sun (e.g. paper), yellow|VsuruI|||||
10772|waste time, kill time|VsuruI|||||
10773|be corpulent, be fat, be obese|VsuruI|||||
10774|do a day trip|VsuruI|||||
10775|reply, answer, respond|VsuruI|||||
10776|be derived|VsuruI|||||
10777|roll over|VsuruI|||||
10778|turn around, turn from side to side, be inversed, be reversed|VsuruI|||||
10779|invert tones, make a negative image|VsuruI|||||
10780|reflect (light, sound, radio waves, etc..)|VsuruT|||||
10781|reflect, reconsider, introspect, meditate, contemplate|VsuruI|||||
10782|regret, repent, feel remorse, be sorry|VsuruI|||||
10783|object, refute, rebut, counterargue|VsuruI|||||
10784|insurrect, mutiny, rebel, revolt, uprise|VsuruI|||||
10785|oppose, repel, revolt against, resist, refuse|VsuruT|||||
10786|rebound, recoil|VsuruI|||||
10787|rally (e.g. in stock prices), recover|VsuruI|||||
10788|echo, reverberate|VsuruI|||||
10789|react, respond|VsuruI|||||
10790|counterattack|VsuruI|||||
10791|reflect (light, image, situation, attitude, etc.)|VsuruT|||||
10792|apply (e.g. an update)|VsuruT|||||
10793|dispatch, despatch, deploy|VsuruI|||||
10794|dispatch troops, despatch troops|VsuruI|||||
10795|order (esp. a number of people), command|VsuruT|||||
10796|bow at start and end of school class|VsuruI|||||
10797|be patient, endure, persevere, be tolerant, have self-control, be in self-denial|VsuruI|||||
10798|study, learn|VsuruT|||||
10799|be at one's post, be at one's station|VsuruI|||||
10800|dangle heavily, sway to and fro, swing|VsuruI|||||
10801|stroll, ramble, roam, wander|VsuruI|||||
10802|persist (of an illness)|VsuruI|||||
10803|take on one's share (e.g. of work), divide (work, expenses, etc.) between, apportion, allot, allocate, assign|VsuruT|||||
10804|separate, partition, detach, segregate, isolate|VsuruT|||||
10805|divide, split, share, distribute, disseminate, allocate|VsuruT|||||
10806|diverge, ramificate, bifurcate, branch off|VsuruI|||||
10807|step (in place), stamp (up and down), stomp, mark time (for a soldier)|VsuruI|||||
10808|be in a standstill, be in a stalemate|VsuruI|||||
10809|get things in the wrong order (back to front), become muddled up|VsuruI|||||
10810|be wild, grow wild, live in the wild|VsuruI|||||
10811|be in service (bus, train), operate|VsuruI|||||
10812|move, revolve|VsuruI|||||
10813|load (on board), equip|VsuruT|||||
10814|perform a procedure, perform proceedings, perform formalities|VsuruI|||||
10815|care, look after, repair, maintain, tend, trim, groom|VsuruT|||||
10816|raid, crack down|VsuruT|||||
10817|be in charge (of an area of responsibility), handle, be responsible (for a work role, etc.)|VsuruT|||||
10818|rise (e.g. of a movement), emerge, rear one's head, gain prominence, come to the fore, gain power, gather strength|VsuruI|||||
10819|organize, organise, form|VsuruT|||||
10820|construct, setup, constitute|VsuruT|||||
10821|weave (a fabric)|VsuruT|||||
10822|form of a cabinet|VsuruI|||||
10823|compile, edit|VsuruT|||||
10824|record|VsuruT|||||
10825|assume (office), take up (a post), be inaugurated, be installed|VsuruI|||||
10826|appear (in a stage, film, TV show, etc.)|VsuruI|||||
10827|perform|VsuruT|||||
10828|classify, assort|VsuruT|||||
10829|save labor, reduce labor|VsuruI|||||
10830|omit, abbreviate, abridge|VsuruT|||||
10831|designate, specify, assign, appoint, point at|VsuruT|||||
10832|rely on, trust, have faith in, have confidence in|VsuruT|||||
10833|trust, confide in|VsuruT|||||
10834|have faith, believe, have creed|VsuruI|||||
10835|signal|VsuruI|||||
10836|believe, trust, rely on|VsuruT|||||
10837|sell on the market (in the marketplace, in stores, etc.), make something commercially available|VsuruT|||||
10838|rehabilitate (in society)|VsuruT|||||
10839|establish, found, incorporate (a business)|VsuruT|||||
10840|go on an election campaign, go on a political campaign, campaign, electioneer, canvass|VsuruI|||||
10841|elect|VsuruT|||||
10842|plan, design, lay out|VsuruT|||||
10843|manufacture, produce|VsuruT|||||
10844|limit, restrict, condition, constrain|VsuruT|||||
10845|enact, establish, create|VsuruT|||||
10846|control, check, restrain, inhibit|VsuruT|||||
10847|manufacture, produce|VsuruT|||||
10848|produce, create, turn (something) out, develop|VsuruT|||||
10849|be successful, be a hit, succeed|VsuruI|||||
10850|conquer, dominate, master|VsuruT|||||
10851|restrict, restrain, limit|VsuruT|||||
10852|gain total control (of people or counties), suppress, oppress, control, master|VsuruT|||||
10853|possess (esp. a territory)|VsuruT|||||
10854|receive (money)|VsuruT|||||
10855|acknowledge, understand, note, accept|VsuruT|||||
10856|mass produce|VsuruT|||||
10857|hand out a sentence, assess a case|VsuruI|||||
10858|comprehend, consent to, understand, agree to|VsuruT|||||
10859|acquiesce|VsuruT|||||
10860|release|VsuruT|||||
10861|propose marriage|VsuruI|||||
10862|program|VsuruT|||||
10863|start a business|VsuruI|||||
10864|open a store (for the day)|VsuruI|||||
10865|interview|VsuruT|||||
10866|be satisfied, be content, be complacent|VsuruI|||||
10867|have enough of (food, drink, etc.), have one's fill|VsuruI|||||
10868|fully enjoy|VsuruT|||||
10869|teach, instruct|VsuruT|||||
10870|divide, section, demarcate, partition, segmentate, subdivide, compartmentalize, classify, sort|VsuruT|||||
10871|organize, organise, configure, compose|VsuruT|||||
10872|make an official announcement, proclaim|VsuruI|||||
10873|perform publicly|VsuruT|||||
10874|exhibit in a foreign country|VsuruT|||||
10875|construct, establish|VsuruT|||||
10876|form, mold, make up, take form, give form to|VsuruT|||||
10877|sing|VsuruI|||||
10878|acquire, possess|VsuruT|||||
10879|regard highly, attach importance to|VsuruT|||||
10880|regard as important, attach importance to, take a serious view of, put emphasis on|VsuruT|||||
10881|win (a prize)|VsuruI|||||
10882|color, colour, assort, make up|VsuruT|||||
10883|get home|VsuruI|||||
10884|compose, forme, organize, organise, compile|VsuruT|||||
10885|build a bridge, mediate, go between|VsuruT|||||
10886|sell, market|VsuruT|||||
10887|crowd, herd, gather, assemble|VsuruI|||||
10888|alight (from train, bus, etc.), get off|VsuruI|||||
10889|have diarrhoea, have diarrhea|VsuruI|||||
10890|develop (film)|VsuruT|||||
10891|set sail, put out to sea|VsuruI|||||
10892|start anew, embark on something new|VsuruI|||||
10893|debut|VsuruI|||||
10894|unite, combine, team up|VsuruI|||||
10895|value highly, prize|VsuruT|||||
10896|hold back (e.g. emotions), rein in (e.g. a horse, unruly people), bridle|VsuruT|||||
10897|get the better of|VsuruT|||||
10898|control, command|VsuruT|||||
10899|concern, be related to|VsuruT|||||
10900|transport|VsuruT|||||
10901|turn right|VsuruI|||||
10902|make use of, apply, use practically, manage effectively (e.g. funds)|VsuruT|||||
10903|operate, handle, steer (esp. a boat)|VsuruT|||||
10904|add, supplement, append|VsuruT|||||
10905|be elected|VsuruI|||||
10906|be selected (to win a prize, etc.)|VsuruI|||||
10907|win (in a lottery, raffle, etc.)|VsuruI|||||
10908|registered, record an entry|VsuruT|||||
10909|integrate, unify, combine, consolidate, synthesise, synthesize|VsuruT|||||
10910|score, goal|VsuruI|||||
10911|develop, evolve, progress, unfold|VsuruI|||||
10912|expand, spread out, extend, deploy, build up|VsuruI|||||
10913|extract (e.g. files), decompress, unpack|VsuruT|||||
10914|be hostile toward, antagonise, oppose|VsuruT|||||
10915|offer, tender, provide, supply, make available, donate (blood, organs, etc.)|VsuruT|||||
10916|sponsor (a TV program)|VsuruT|||||
10917|sit in (i.e. in protest)|VsuruI|||||
10918|establish, found, organize, organise|VsuruT|||||
10919|be different, have a discrepancy, vary|VsuruI|||||
10920|synthesise, coordinate, put together, integrate, compose|VsuruT|||||
10921|equip, install|VsuruT|||||
10922|equip|VsuruT|||||
10923|collect, summarize, put together, aggregate, integrate|VsuruT|||||
10924|accumulate, pile up|VsuruI|||||
10925|collect money|VsuruI|||||
10926|totalize, totalise, aggregate, tally (e.g. votes)|VsuruT|||||
10927|acquire, obtain, gain possession, purchase|VsuruT|||||
10928|take the name of, call oneself|VsuruT|||||
10929|pretend, feign, purport|VsuruT|||||
10930|process, dealing with, treat, dispose|VsuruT|||||
10931|commission, entrust with (work)|VsuruT|||||
10932|feign ignorance, pretend not to recognize (somebody)|VsuruI|||||
